"name";"RA_ICRS";"DE_ICRS";"dist";"e_dist";"age";"e_age";"FeH";"e_FeH";"Av";"e_Av";"Nc";"alpha_high_ind";"alpha_low_ind";"Mc_ind";"offset_ind";"Mc_left_ind";"Mc_right_ind";"alpha_high_ind_error";"alpha_low_ind_error";"Mc_ind_error";"offset_ind_error";"alpha_high_prim";"alpha_low_prim";"Mc_prim";"offset_prim";"Mc_left_prim";"Mc_right_prim";"alpha_high_prim_error";"alpha_low_prim_error";"Mc_prim_error";"offset_prim_error";"alpha_high_sec";"alpha_low_sec";"Mc_sec";"offset_sec";"Mc_left_sec";"Mc_right_sec";"alpha_high_sec_error";"alpha_low_sec_error";"Mc_sec_error";"offset_sec_error";"alpha_high_prim_sec";"alpha_low_prim_sec";"Mc_prim_sec";"offset_prim_sec";"Mc_left_prim_sec";"Mc_right_prim_sec";"alpha_high_prim_sec_error";"alpha_low_prim_sec_error";"Mc_prim_sec_error";"offset_prim_sec_error";"alpha_high_ind_prim";"alpha_low_ind_prim";"Mc_ind_prim";"offset_ind_prim";"Mc_left_ind_prim";"Mc_right_ind_prim";"alpha_high_ind_prim_error";"alpha_low_ind_prim_error";"Mc_ind_prim_error";"offset_ind_prim_error";"vis_mass_total";"vis_mass_total_error";"mass_total";"mass_total_error";"bin_frac";"average_ratio";"str_frac";"segregation_ratio";"segregation_ratio_std"
"NGC_1817";"78.1423";"16.7131";"1629";"18";"9.069";"0.026";"-0.127";"0.035";"0.791";"0.045";"1641";"-1.77";"0.0";"-0.17";"1.49";"0.0";"15.0";"0.0";"0.45";"0.06";"0.06";"-1.97";"3.0";"0.1";"1.87";"7.0";"6.0";"0.02";"0.52";"0.1";"0.61";"-2.26";"2.42";"-0.11";"1.53";"7.0";"6.0";"0.02";"0.46";"0.05";"0.38";"-2.66";"1.67";"0.1";"2.28";"10.0";"4.0";"0.02";"0.74";"0.14";"0.27";"-1.02";"0.0";"-0.04";"1.88";"3.0";"8.0";"0.0";"0.15";"0.04";"0.0";"1045.0";"2.0";"1554.0";"155.4";"0.45";"0.61";"0.17";"0.83";"0.0"
"NGC_7142";"326.3063";"65.757";"2168";"69";"9.502";"0.031";"-0.099";"0.067";"1.429";"0.065";"1637";"-1.44";"0.0";"-0.11";"1.38";"0.0";"9.0";"0.0";"0.45";"0.04";"0.04";"-0.0";"2.94";"0.06";"1.64";"7.0";"3.0";"0.05";"2.26";"0.27";"0.8";"-3.0";"2.26";"-0.06";"1.57";"9.0";"4.0";"0.02";"1.05";"0.05";"0.38";"-0.14";"2.88";"-0.03";"1.88";"12.0";"5.0";"0.02";"0.38";"0.03";"0.23";"-0.0";"0.82";"0.1";"1.75";"9.0";"2.0";"0.0";"0.15";"0.04";"0.0";"807.0";"2.0";"1206.0";"120.6";"0.6";"0.76";"0.19";"0.63";"0.0"
"UPK_587";"201.1248";"-50.0096";"880";"6";"8.563";"0.102";"-0.228";"0.034";"0.355";"0.105";"1621";"-1.64";"0.0";"-0.33";"0.84";"0.0";"7.0";"0.0";"0.52";"0.14";"0.14";"-1.79";"0.47";"-0.02";"1.39";"4.0";"5.0";"0.03";"0.24";"0.05";"0.2";"-3.0";"0.0";"-0.01";"1.36";"5.0";"4.0";"0.08";"1.13";"0.2";"0.33";"-2.45";"0.56";"-0.01";"1.68";"6.0";"5.0";"0.04";"0.56";"0.12";"0.25";"-1.5";"0.0";"-0.12";"1.43";"3.0";"6.0";"0.0";"0.15";"0.04";"0.0";"297.0";"2.0";"398.0";"39.8";"0.69";"0.69";"0.16";"0.75";"0.0"
"BH_211";"255.5352";"-41.1359";"1566";"41";"7.354";"0.453";"0.14";"0.062";"2.42";"0.071";"1606";"-2.34";"0.04";"0.04";"1.53";"3.0";"13.0";"0.15";"0.52";"0.11";"0.11";"-1.76";"0.0";"-0.1";"1.68";"0.0";"11.0";"0.0";"0.3";"0.06";"0.0";"-1.83";"3.0";"-0.12";"1.44";"7.0";"12.0";"0.03";"0.4";"0.07";"1.19";"-1.84";"3.0";"-0.06";"1.78";"8.0";"14.0";"0.03";"0.32";"0.07";"0.96";"-2.35";"3.0";"-0.02";"1.83";"2.0";"18.0";"0.0";"0.15";"0.04";"0.0";"760.0";"3.0";"1350.0";"135.0";"0.61";"0.87";"0.15";"0.99";"0.0"
"UBC_482";"131.1772";"-45.9815";"1902";"33";"7.463";"0.194";"0.052";"0.068";"1.176";"0.044";"1619";"-2.82";"0.0";"-0.14";"1.66";"0.0";"15.0";"0.0";"0.29";"0.05";"0.05";"-1.93";"0.17";"-0.04";"1.72";"1.0";"15.0";"0.03";"0.15";"0.04";"0.0";"-1.86";"2.98";"-0.12";"1.5";"6.0";"14.0";"0.02";"0.19";"0.04";"0.45";"-1.91";"3.0";"-0.05";"1.85";"8.0";"17.0";"0.02";"0.17";"0.04";"0.42";"-2.23";"0.0";"-0.11";"1.86";"0.0";"22.0";"0.0";"0.15";"0.04";"0.0";"986.0";"3.0";"1989.0";"198.9";"0.5";"0.79";"0.18";"0.98";"0.0"
"NGC_6756";"287.1852";"4.7091";"2746";"113";"8.001";"0.425";"0.159";"0.077";"3.225";"0.056";"1553";"-1.01";"0.0";"0.02";"1.6";"0.0";"9.0";"0.0";"0.33";"0.12";"0.12";"-1.71";"0.0";"0.02";"1.86";"0.0";"10.0";"0.0";"0.28";"0.09";"0.0";"-1.37";"1.88";"0.05";"1.65";"7.0";"5.0";"0.06";"0.73";"0.19";"0.48";"-1.67";"2.44";"0.1";"1.92";"11.0";"11.0";"0.03";"0.34";"0.11";"0.4";"-1.42";"0.0";"0.02";"1.98";"0.0";"11.0";"0.0";"0.15";"0.04";"0.0";"962.0";"2.0";"1796.0";"179.60000000000002";"0.56";"0.74";"0.22";"";"0.0"
"Pozzo_1";"122.3438";"-47.3146";"343";"8";"7.105";"0.074";"-0.042";"0.044";"0.269";"0.059";"1642";"-1.6";"0.0";"-0.39";"1.24";"5.0";"14.0";"0.04";"0.14";"0.04";"0.04";"-1.48";"0.26";"-0.06";"1.21";"2.0";"5.0";"0.12";"0.46";"0.13";"0.8";"-1.58";"1.05";"-0.34";"0.72";"2.0";"7.0";"0.04";"0.24";"0.07";"0.0";"-1.92";"0.0";"-0.02";"1.37";"4.0";"6.0";"0.12";"0.59";"0.18";"0.44";"-1.69";"0.0";"-0.29";"1.4";"6.0";"13.0";"0.0";"0.15";"0.04";"0.0";"400.0";"3.0";"457.0";"45.7";"0.1";"0.75";"0.21";"0.87";"0.0"
"Mayer_1";"5.5294";"61.7579";"2541";"152";"7.018";"0.078";"-0.079";"0.069";"1.693";"0.066";"1659";"-1.79";"0.0";"0.02";"1.31";"0.0";"9.0";"0.0";"0.34";"0.1";"0.1";"-1.54";"0.0";"0.02";"1.47";"0.0";"9.0";"0.0";"0.18";"0.06";"0.0";"-1.16";"2.64";"-0.0";"1.31";"4.0";"5.0";"0.05";"0.39";"0.13";"0.87";"-1.68";"3.0";"0.05";"1.58";"6.0";"12.0";"0.02";"0.2";"0.07";"0.65";"-1.69";"0.0";"0.02";"1.63";"0.0";"11.0";"0.0";"0.15";"0.04";"0.0";"341.0";"3.0";"544.0";"54.400000000000006";"0.62";"0.77";"0.17";"1.2";"0.0"
"IC_2488";"141.7932";"-57.0357";"1287";"12";"8.184";"0.036";"0.019";"0.025";"0.979";"0.024";"1617";"-2.1";"0.95";"-0.07";"1.64";"3.0";"14.0";"0.04";"0.29";"0.06";"0.06";"-1.65";"1.61";"0.1";"1.84";"4.0";"7.0";"0.03";"0.32";"0.1";"0.55";"-2.17";"1.77";"-0.06";"1.58";"6.0";"7.0";"0.03";"0.4";"0.06";"0.34";"-1.83";"1.78";"0.03";"1.98";"7.0";"9.0";"0.03";"0.31";"0.09";"0.27";"-1.79";"0.0";"0.04";"1.96";"4.0";"11.0";"0.0";"0.15";"0.04";"0.0";"1054.0";"2.0";"1232.0";"123.2";"0.39";"0.63";"0.2";"0.85";"0.0"
"UBC_495";"144.9762";"-57.2918";"3400";"122";"8.604";"0.403";"-0.065";"0.038";"1.755";"0.104";"1603";"-2.75";"0.0";"-0.0";"1.68";"0.0";"11.0";"0.0";"0.37";"0.06";"0.06";"-2.87";"0.0";"-0.05";"1.79";"0.0";"14.0";"0.0";"0.35";"0.06";"0.0";"-1.25";"2.35";"-0.05";"1.63";"7.0";"6.0";"0.04";"0.84";"0.11";"0.44";"-3.0";"3.0";"0.04";"1.99";"16.0";"12.0";"0.01";"0.42";"0.08";"0.31";"-2.78";"0.0";"-0.03";"1.95";"0.0";"15.0";"0.0";"0.15";"0.04";"0.0";"875.0";"2.0";"2239.0";"223.9";"0.62";"0.79";"0.19";"0.88";"0.0"
"UBC_476";"126.5671";"-33.8399";"3431";"138";"8.48";"0.367";"-0.144";"0.04";"1.153";"0.09";"1647";"-3.0";"0.0";"-0.04";"1.61";"0.0";"15.0";"0.0";"0.36";"0.04";"0.04";"-2.38";"0.0";"0.09";"1.81";"2.0";"7.0";"0.04";"0.26";"0.06";"1.07";"-2.0";"2.09";"0.03";"1.66";"8.0";"5.0";"0.05";"1.24";"0.19";"0.56";"-3.0";"3.0";"0.06";"2.09";"10.0";"8.0";"0.02";"0.58";"0.12";"0.46";"-2.61";"0.0";"-0.08";"1.91";"0.0";"13.0";"0.0";"0.15";"0.04";"0.0";"716.0";"3.0";"1466.0";"146.6";"0.47";"0.75";"0.18";"0.96";"0.0"
"IC_2395";"130.4568";"-48.0611";"693";"4";"7.122";"0.023";"-0.034";"0.039";"0.474";"0.044";"1598";"-1.88";"0.0";"-0.27";"1.1";"4.0";"12.0";"0.06";"0.27";"0.06";"0.06";"-1.61";"0.21";"0.01";"1.28";"3.0";"6.0";"0.12";"0.44";"0.13";"0.81";"-1.44";"0.0";"-0.25";"0.98";"2.0";"6.0";"0.1";"0.28";"0.06";"0.81";"-1.52";"0.26";"-0.1";"1.34";"4.0";"7.0";"0.08";"0.34";"0.09";"0.43";"-1.63";"0.25";"-0.26";"1.3";"4.0";"13.0";"0.0";"0.15";"0.04";"0.0";"337.0";"3.0";"430.0";"43.0";"0.24";"0.78";"0.18";"0.99";"0.0"
