clusters_bons;clusters_ruins
Collinder_115;
Czernik_24;
LP_0201;
Berkeley_15;
NGC_2396;
NGC_6709;
BH_164;
NGC_1528;
UBC_241;
NGC_7243;
UBC_68;
ASCC_67;
Dias_5;
Haffner_6;
ASCC_16;
UPK_495;
Ruprecht_68;
King_18;
NGC_1798;
Berkeley_14;
NGC_1960;
Alessi_12;
UPK_442;
LP_2000;
Trumpler_32;
UBC_220;
Ruprecht_85;
UPK_612;
NGC_1342;
UBC_292;
NGC_2184;
COIN-Gaia_28;
Gulliver_17;
Collinder_258;
ASCC_9;
Berkeley_81;
UBC_439;
NGC_2423;
Haffner_11;
Berkeley_62;
UPK_169;
NGC_6694;
SAI_24;
NGC_7510;
NGC_957;
Loden_1194;
UBC_172;
NGC_2635;
UPK_50;
UFMG_3;
vdBergh_130;
NGC_6910;
Collinder_272;
NGC_6728;
UBC_619;
NGC_609;
NGC_6087;
UBC_198;
DBSB_7;
NGC_2451B;
UPK_621;
Ruprecht_66;
UPK_180;
Alessi_2;
ASCC_11;
UPK_604;
Blanco_1;
NGC_2262;
NGC_2421;
UPK_168;
ASCC_13;
Hogg_4;
Trumpler_14;
NGC_654;
FSR_0951;
vdBergh_92;
IC_1434;
Ruprecht_174;
NGC_1027;
UPK_381;
King_13;
LP_2059;
Turner_9;
NGC_2658;
ASCC_12;
Berkeley_68;
NGC_6253;
NGC_3293;
FSR_1443;
UBC_422;
Teutsch_144;
UPK_560;
NGC_7082;
Tombaugh_5;
BH_205;
NGC_2281;
NGC_4852;
Berkeley_24;
NGC_6208;
UPK_542;
FSR_0198;
UBC_460;
NGC_4349;
NGC_7245;
LP_1406;
Ruprecht_63;
NGC_6192;
FSR_0591;
NGC_2301;
NGC_1817;
NGC_7142;
UPK_587;
UBC_482;
NGC_6756;
IC_2488;
UBC_476;
IC_2395;
UBC_154;
LP_5;
NGC_2539;
Trumpler_19;
Ruprecht_171;
UBC_290;
NGC_6939;
NGC_6152;
NGC_2548;
NGC_4609;
UBC_41;
LP_0733;
NGC_6940;
NGC_559;
NGC_2236;
NGC_2360;
NGC_7235;
Berkeley_36;
Melotte_20;
UPK_429;
LP_1800;
NGC_2112;
NGC_6242;
IC_361;
Tombaugh_2;
Berkeley_70;
LP_2219;
SAI_25;
NGC_2287;
NGC_3496;
NGC_129;
Gulliver_18;
UBC_166;
NGC_5316;
NGC_1750;
King_7;
NGC_2682;
ASCC_108;
King_5;
NGC_1912;
NGC_2324;
Collinder_205;
Gulliver_28;
NGC_6025;
UPK_54;
NGC_6475;
Gulliver_6;
NGC_2439;
NGC_188;
NGC_6134;
UBC_490;
NGC_7086;
BDSB96;
Collinder_419;
Pozzo_1;
Berkeley_17;
NGC_7067;
Melotte_22;
